,2018-02-19T14:45:00+08:00,2018-02-19T14:50:00+08:00,2018-02-19T14:55:00+08:00,2018-02-19T15:00:00+08:00,2018-02-19T15:05:00+08:00,2018-02-19T15:10:00+08:00,2018-02-19T15:15:00+08:00,2018-02-19T15:20:00+08:00,2018-02-19T15:25:00+08:00,2018-02-19T15:30:00+08:00,2018-02-19T15:35:00+08:00,2018-02-19T15:40:00+08:00,2018-02-19T15:45:00+08:00,2018-02-19T15:50:00+08:00,2018-02-19T15:55:00+08:00,2018-02-19T16:00:00+08:00,2018-02-19T16:05:00+08:00,2018-02-19T17:15:00+08:00,2018-02-19T17:20:00+08:00,2018-02-19T17:25:00+08:00,2018-02-19T17:30:00+08:00,2018-02-19T17:35:00+08:00,2018-02-19T17:40:00+08:00,2018-02-19T17:45:00+08:00,2018-02-19T17:50:00+08:00,2018-02-19T17:55:00+08:00,2018-02-19T18:00:00+08:00,2018-02-19T18:05:00+08:00,2018-02-19T18:10:00+08:00,2018-02-19T18:15:00+08:00,2018-02-19T18:20:00+08:00,2018-02-19T18:25:00+08:00,2018-02-19T18:30:00+08:00,2018-02-19T18:35:00+08:00,2018-02-19T18:40:00+08:00,2018-02-19T18:45:00+08:00,2018-02-19T18:50:00+08:00,2018-02-19T18:55:00+08:00,2018-02-19T19:00:00+08:00,2018-02-19T19:05:00+08:00,2018-02-19T19:10:00+08:00,2018-02-19T19:15:00+08:00,2018-02-19T19:20:00+08:00,2018-02-19T19:25:00+08:00,2018-02-19T19:30:00+08:00,2018-02-19T19:35:00+08:00,2018-02-19T19:40:00+08:00,2018-02-19T19:45:00+08:00,2018-02-19T19:50:00+08:00,2018-02-19T19:55:00+08:00,2018-02-19T20:00:00+08:00,2018-02-19T20:05:00+08:00,2018-02-19T20:10:00+08:00,2018-02-19T20:15:00+08:00,2018-02-19T20:20:00+08:00,2018-02-19T20:25:00+08:00,2018-02-19T20:30:00+08:00,2018-02-19T20:35:00+08:00,2018-02-19T20:40:00+08:00,2018-02-19T20:45:00+08:00,2018-02-19T20:50:00+08:00,2018-02-19T20:55:00+08:00,2018-02-19T21:00:00+08:00,2018-02-19T21:05:00+08:00,2018-02-19T21:10:00+08:00,2018-02-19T21:15:00+08:00,2018-02-19T21:20:00+08:00,2018-02-19T21:25:00+08:00,2018-02-19T21:30:00+08:00,2018-02-19T21:35:00+08:00,2018-02-19T21:40:00+08:00,2018-02-19T21:45:00+08:00,2018-02-19T21:50:00+08:00,2018-02-19T21:55:00+08:00,2018-02-19T22:00:00+08:00,2018-02-19T22:05:00+08:00,2018-02-19T22:10:00+08:00,2018-02-19T22:15:00+08:00,2018-02-19T22:20:00+08:00,2018-02-19T22:25:00+08:00,2018-02-19T22:30:00+08:00,2018-02-19T22:35:00+08:00,2018-02-19T22:40:00+08:00,2018-02-19T22:45:00+08:00,2018-02-19T22:50:00+08:00,2018-02-19T22:55:00+08:00,2018-02-19T23:00:00+08:00,2018-02-19T23:05:00+08:00,2018-02-19T23:10:00+08:00,2018-02-19T23:15:00+08:00,2018-02-19T23:20:00+08:00,2018-02-19T23:25:00+08:00,2018-02-19T23:30:00+08:00,2018-02-19T23:35:00+08:00,2018-02-19T23:40:00+08:00,2018-02-19T23:45:00+08:00,2018-02-19T23:50:00+08:00,2018-02-19T23:55:00+08:00
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
