,2018-03-21T00:05:00+08:00,2018-03-21T00:10:00+08:00,2018-03-21T00:15:00+08:00,2018-03-21T00:20:00+08:00,2018-03-21T00:30:00+08:00,2018-03-21T00:35:00+08:00,2018-03-21T00:40:00+08:00,2018-03-21T00:45:00+08:00,2018-03-21T00:50:00+08:00,2018-03-21T01:05:00+08:00,2018-03-21T01:10:00+08:00,2018-03-21T01:15:00+08:00,2018-03-21T01:20:00+08:00,2018-03-21T01:30:00+08:00,2018-03-21T01:35:00+08:00,2018-03-21T01:40:00+08:00,2018-03-21T01:45:00+08:00,2018-03-21T01:50:00+08:00,2018-03-21T02:05:00+08:00,2018-03-21T02:10:00+08:00,2018-03-21T02:15:00+08:00,2018-03-21T02:20:00+08:00,2018-03-21T02:25:00+08:00,2018-03-21T02:35:00+08:00,2018-03-21T02:40:00+08:00,2018-03-21T02:45:00+08:00,2018-03-21T02:50:00+08:00,2018-03-21T03:00:00+08:00,2018-03-21T03:05:00+08:00,2018-03-21T03:10:00+08:00,2018-03-21T03:15:00+08:00,2018-03-21T03:20:00+08:00,2018-03-21T03:35:00+08:00,2018-03-21T03:40:00+08:00,2018-03-21T03:45:00+08:00,2018-03-21T03:50:00+08:00,2018-03-21T03:55:00+08:00,2018-03-21T04:00:00+08:00,2018-03-21T04:10:00+08:00,2018-03-21T04:15:00+08:00,2018-03-21T04:20:00+08:00,2018-03-21T04:35:00+08:00,2018-03-21T04:40:00+08:00,2018-03-21T04:45:00+08:00,2018-03-21T04:50:00+08:00,2018-03-21T05:00:00+08:00,2018-03-21T05:05:00+08:00,2018-03-21T05:10:00+08:00,2018-03-21T05:15:00+08:00,2018-03-21T05:20:00+08:00,2018-03-21T05:35:00+08:00,2018-03-21T05:40:00+08:00,2018-03-21T05:45:00+08:00,2018-03-21T05:50:00+08:00,2018-03-21T06:05:00+08:00,2018-03-21T06:10:00+08:00,2018-03-21T06:15:00+08:00,2018-03-21T06:20:00+08:00,2018-03-21T06:35:00+08:00,2018-03-21T06:40:00+08:00,2018-03-21T06:45:00+08:00,2018-03-21T06:50:00+08:00,2018-03-21T07:05:00+08:00,2018-03-21T07:10:00+08:00,2018-03-21T07:15:00+08:00,2018-03-21T07:20:00+08:00,2018-03-21T07:25:00+08:00,2018-03-21T07:35:00+08:00,2018-03-21T07:40:00+08:00,2018-03-21T07:45:00+08:00,2018-03-21T07:50:00+08:00,2018-03-21T08:00:00+08:00,2018-03-21T08:05:00+08:00,2018-03-21T08:10:00+08:00,2018-03-21T08:15:00+08:00,2018-03-21T08:20:00+08:00,2018-03-21T08:30:00+08:00,2018-03-21T08:35:00+08:00,2018-03-21T08:40:00+08:00,2018-03-21T08:45:00+08:00,2018-03-21T08:50:00+08:00,2018-03-21T09:00:00+08:00,2018-03-21T09:05:00+08:00,2018-03-21T09:10:00+08:00,2018-03-21T09:15:00+08:00,2018-03-21T09:20:00+08:00,2018-03-21T09:30:00+08:00,2018-03-21T09:35:00+08:00,2018-03-21T09:40:00+08:00,2018-03-21T09:45:00+08:00,2018-03-21T09:50:00+08:00,2018-03-21T10:05:00+08:00,2018-03-21T10:10:00+08:00,2018-03-21T10:15:00+08:00,2018-03-21T10:20:00+08:00,2018-03-21T10:30:00+08:00,2018-03-21T10:35:00+08:00,2018-03-21T10:40:00+08:00,2018-03-21T10:45:00+08:00,2018-03-21T10:50:00+08:00,2018-03-21T11:00:00+08:00,2018-03-21T11:05:00+08:00,2018-03-21T11:10:00+08:00,2018-03-21T11:15:00+08:00,2018-03-21T11:20:00+08:00,2018-03-21T11:35:00+08:00,2018-03-21T11:40:00+08:00,2018-03-21T11:45:00+08:00,2018-03-21T11:50:00+08:00,2018-03-21T11:55:00+08:00,2018-03-21T12:05:00+08:00,2018-03-21T12:10:00+08:00,2018-03-21T12:15:00+08:00,2018-03-21T12:20:00+08:00,2018-03-21T12:25:00+08:00,2018-03-21T12:30:00+08:00,2018-03-21T12:35:00+08:00,2018-03-21T12:40:00+08:00,2018-03-21T12:45:00+08:00,2018-03-21T12:50:00+08:00,2018-03-21T13:00:00+08:00,2018-03-21T13:05:00+08:00,2018-03-21T13:10:00+08:00,2018-03-21T13:15:00+08:00,2018-03-21T13:20:00+08:00,2018-03-21T13:30:00+08:00,2018-03-21T13:35:00+08:00,2018-03-21T13:40:00+08:00,2018-03-21T13:45:00+08:00,2018-03-21T13:50:00+08:00,2018-03-21T14:05:00+08:00,2018-03-21T14:10:00+08:00,2018-03-21T14:15:00+08:00,2018-03-21T14:20:00+08:00,2018-03-21T14:30:00+08:00,2018-03-21T14:35:00+08:00,2018-03-21T14:40:00+08:00,2018-03-21T14:45:00+08:00,2018-03-21T14:50:00+08:00,2018-03-21T15:05:00+08:00,2018-03-21T15:10:00+08:00,2018-03-21T15:15:00+08:00,2018-03-21T15:20:00+08:00,2018-03-21T15:35:00+08:00,2018-03-21T15:40:00+08:00,2018-03-21T15:45:00+08:00,2018-03-21T15:50:00+08:00,2018-03-21T16:05:00+08:00,2018-03-21T17:45:00+08:00,2018-03-21T17:50:00+08:00,2018-03-21T17:55:00+08:00,2018-03-21T18:05:00+08:00,2018-03-21T18:10:00+08:00,2018-03-21T18:15:00+08:00,2018-03-21T18:20:00+08:00,2018-03-21T18:35:00+08:00,2018-03-21T18:40:00+08:00,2018-03-21T18:45:00+08:00,2018-03-21T18:50:00+08:00,2018-03-21T19:00:00+08:00,2018-03-21T19:05:00+08:00,2018-03-21T19:10:00+08:00,2018-03-21T19:15:00+08:00,2018-03-21T19:20:00+08:00,2018-03-21T19:30:00+08:00,2018-03-21T19:35:00+08:00,2018-03-21T19:40:00+08:00,2018-03-21T19:45:00+08:00,2018-03-21T19:50:00+08:00,2018-03-21T19:55:00+08:00,2018-03-21T20:00:00+08:00,2018-03-21T20:10:00+08:00,2018-03-21T20:15:00+08:00,2018-03-21T20:20:00+08:00,2018-03-21T20:35:00+08:00,2018-03-21T20:40:00+08:00,2018-03-21T20:45:00+08:00,2018-03-21T20:50:00+08:00,2018-03-21T21:00:00+08:00,2018-03-21T21:05:00+08:00,2018-03-21T21:10:00+08:00,2018-03-21T21:15:00+08:00,2018-03-21T21:20:00+08:00,2018-03-21T21:35:00+08:00,2018-03-21T21:40:00+08:00,2018-03-21T21:45:00+08:00,2018-03-21T21:50:00+08:00,2018-03-21T22:00:00+08:00,2018-03-21T22:05:00+08:00,2018-03-21T22:10:00+08:00,2018-03-21T22:15:00+08:00,2018-03-21T22:20:00+08:00,2018-03-21T22:25:00+08:00,2018-03-21T22:35:00+08:00,2018-03-21T22:40:00+08:00,2018-03-21T22:45:00+08:00,2018-03-21T22:50:00+08:00,2018-03-21T23:00:00+08:00,2018-03-21T23:05:00+08:00,2018-03-21T23:10:00+08:00,2018-03-21T23:15:00+08:00,2018-03-21T23:20:00+08:00,2018-03-21T23:35:00+08:00,2018-03-21T23:40:00+08:00,2018-03-21T23:45:00+08:00,2018-03-21T23:50:00+08:00,2018-03-21T23:55:00+08:00
S77,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
