,2018-04-11T00:05:00+08:00,2018-04-11T00:10:00+08:00,2018-04-11T00:15:00+08:00,2018-04-11T00:20:00+08:00,2018-04-11T00:35:00+08:00,2018-04-11T00:40:00+08:00,2018-04-11T00:45:00+08:00,2018-04-11T00:50:00+08:00,2018-04-11T01:05:00+08:00,2018-04-11T01:10:00+08:00,2018-04-11T01:15:00+08:00,2018-04-11T01:20:00+08:00,2018-04-11T01:35:00+08:00,2018-04-11T01:40:00+08:00,2018-04-11T01:45:00+08:00,2018-04-11T01:50:00+08:00,2018-04-11T02:05:00+08:00,2018-04-11T02:10:00+08:00,2018-04-11T02:15:00+08:00,2018-04-11T02:20:00+08:00,2018-04-11T02:35:00+08:00,2018-04-11T02:40:00+08:00,2018-04-11T02:45:00+08:00,2018-04-11T02:50:00+08:00,2018-04-11T03:05:00+08:00,2018-04-11T03:10:00+08:00,2018-04-11T03:15:00+08:00,2018-04-11T03:20:00+08:00,2018-04-11T03:35:00+08:00,2018-04-11T03:40:00+08:00,2018-04-11T03:45:00+08:00,2018-04-11T03:50:00+08:00,2018-04-11T04:05:00+08:00,2018-04-11T04:10:00+08:00,2018-04-11T04:15:00+08:00,2018-04-11T04:20:00+08:00,2018-04-11T04:35:00+08:00,2018-04-11T04:40:00+08:00,2018-04-11T04:45:00+08:00,2018-04-11T04:50:00+08:00,2018-04-11T05:05:00+08:00,2018-04-11T05:10:00+08:00,2018-04-11T05:15:00+08:00,2018-04-11T05:20:00+08:00,2018-04-11T05:35:00+08:00,2018-04-11T05:40:00+08:00,2018-04-11T05:45:00+08:00,2018-04-11T05:50:00+08:00,2018-04-11T06:05:00+08:00,2018-04-11T06:10:00+08:00,2018-04-11T06:15:00+08:00,2018-04-11T06:20:00+08:00,2018-04-11T06:35:00+08:00,2018-04-11T06:40:00+08:00,2018-04-11T06:45:00+08:00,2018-04-11T06:50:00+08:00,2018-04-11T07:05:00+08:00,2018-04-11T07:10:00+08:00,2018-04-11T07:15:00+08:00,2018-04-11T07:20:00+08:00,2018-04-11T07:35:00+08:00,2018-04-11T07:40:00+08:00,2018-04-11T07:45:00+08:00,2018-04-11T07:50:00+08:00,2018-04-11T08:05:00+08:00,2018-04-11T08:10:00+08:00,2018-04-11T08:15:00+08:00,2018-04-11T08:20:00+08:00,2018-04-11T08:35:00+08:00,2018-04-11T08:40:00+08:00,2018-04-11T08:45:00+08:00,2018-04-11T08:50:00+08:00,2018-04-11T09:05:00+08:00,2018-04-11T09:10:00+08:00,2018-04-11T09:15:00+08:00,2018-04-11T09:20:00+08:00,2018-04-11T09:35:00+08:00,2018-04-11T09:40:00+08:00,2018-04-11T09:45:00+08:00,2018-04-11T09:50:00+08:00,2018-04-11T10:05:00+08:00,2018-04-11T10:10:00+08:00,2018-04-11T10:15:00+08:00,2018-04-11T10:20:00+08:00,2018-04-11T10:35:00+08:00,2018-04-11T10:40:00+08:00,2018-04-11T10:45:00+08:00,2018-04-11T10:50:00+08:00,2018-04-11T11:05:00+08:00,2018-04-11T11:10:00+08:00,2018-04-11T11:15:00+08:00,2018-04-11T11:20:00+08:00,2018-04-11T11:35:00+08:00,2018-04-11T11:40:00+08:00,2018-04-11T11:45:00+08:00,2018-04-11T11:50:00+08:00,2018-04-11T12:05:00+08:00,2018-04-11T12:10:00+08:00,2018-04-11T12:15:00+08:00,2018-04-11T12:20:00+08:00,2018-04-11T14:40:00+08:00,2018-04-11T14:45:00+08:00,2018-04-11T14:50:00+08:00
S77,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S55,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
