,2018-04-16T15:20:00+08:00,2018-04-16T15:25:00+08:00,2018-04-16T15:30:00+08:00,2018-04-16T15:35:00+08:00,2018-04-16T15:40:00+08:00,2018-04-16T15:45:00+08:00,2018-04-16T15:50:00+08:00,2018-04-16T15:55:00+08:00,2018-04-16T16:00:00+08:00,2018-04-16T16:05:00+08:00,2018-04-16T16:10:00+08:00,2018-04-16T16:15:00+08:00,2018-04-16T16:20:00+08:00,2018-04-16T16:25:00+08:00,2018-04-16T16:30:00+08:00,2018-04-16T16:35:00+08:00,2018-04-16T16:40:00+08:00,2018-04-16T16:45:00+08:00,2018-04-16T16:50:00+08:00,2018-04-16T16:55:00+08:00,2018-04-16T17:00:00+08:00,2018-04-16T17:05:00+08:00,2018-04-16T17:10:00+08:00,2018-04-16T17:15:00+08:00,2018-04-16T17:20:00+08:00,2018-04-16T17:25:00+08:00,2018-04-16T17:30:00+08:00,2018-04-16T17:35:00+08:00,2018-04-16T17:40:00+08:00,2018-04-16T17:45:00+08:00,2018-04-16T17:50:00+08:00,2018-04-16T17:55:00+08:00,2018-04-16T18:00:00+08:00,2018-04-16T18:05:00+08:00,2018-04-16T18:10:00+08:00,2018-04-16T18:15:00+08:00,2018-04-16T18:20:00+08:00,2018-04-16T18:25:00+08:00,2018-04-16T18:30:00+08:00,2018-04-16T18:35:00+08:00,2018-04-16T18:40:00+08:00,2018-04-16T18:45:00+08:00,2018-04-16T18:50:00+08:00,2018-04-16T18:55:00+08:00,2018-04-16T19:00:00+08:00,2018-04-16T19:05:00+08:00,2018-04-16T19:10:00+08:00,2018-04-16T19:15:00+08:00,2018-04-16T19:20:00+08:00,2018-04-16T19:25:00+08:00,2018-04-16T19:30:00+08:00,2018-04-16T19:35:00+08:00,2018-04-16T19:40:00+08:00,2018-04-16T19:45:00+08:00,2018-04-16T19:50:00+08:00,2018-04-16T19:55:00+08:00,2018-04-16T20:00:00+08:00,2018-04-16T20:05:00+08:00,2018-04-16T20:10:00+08:00,2018-04-16T20:15:00+08:00,2018-04-16T20:20:00+08:00,2018-04-16T20:25:00+08:00,2018-04-16T20:30:00+08:00,2018-04-16T20:35:00+08:00,2018-04-16T20:40:00+08:00,2018-04-16T20:45:00+08:00,2018-04-16T20:50:00+08:00,2018-04-16T20:55:00+08:00,2018-04-16T21:00:00+08:00,2018-04-16T21:05:00+08:00,2018-04-16T21:10:00+08:00,2018-04-16T21:15:00+08:00,2018-04-16T21:20:00+08:00,2018-04-16T21:25:00+08:00,2018-04-16T21:30:00+08:00,2018-04-16T21:35:00+08:00,2018-04-16T21:40:00+08:00,2018-04-16T21:45:00+08:00,2018-04-16T21:50:00+08:00,2018-04-16T21:55:00+08:00,2018-04-16T22:00:00+08:00,2018-04-16T22:05:00+08:00,2018-04-16T22:10:00+08:00,2018-04-16T22:15:00+08:00,2018-04-16T22:20:00+08:00,2018-04-16T22:25:00+08:00,2018-04-16T22:30:00+08:00,2018-04-16T22:35:00+08:00,2018-04-16T22:40:00+08:00,2018-04-16T22:45:00+08:00,2018-04-16T22:50:00+08:00,2018-04-16T22:55:00+08:00,2018-04-16T23:00:00+08:00,2018-04-16T23:05:00+08:00,2018-04-16T23:10:00+08:00,2018-04-16T23:15:00+08:00,2018-04-16T23:20:00+08:00,2018-04-16T23:25:00+08:00,2018-04-16T23:30:00+08:00,2018-04-16T23:35:00+08:00,2018-04-16T23:40:00+08:00,2018-04-16T23:45:00+08:00,2018-04-16T23:50:00+08:00,2018-04-16T23:55:00+08:00
S77,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0.8,0,0,0,0.2,0.4,0.2,0.8,0.8,1.2,0.4,0.4,0.4,1.2,1.2,0.8,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S55,1.2,0,0,0,0.2,0.8,1,1.8,1,1.8,1.8,1.8,2,1.6,1,0.6,0.8,1.2,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0.0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0.0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0.0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0.0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
