,2019-04-20T00:05:00+08:00,2019-04-20T00:10:00+08:00,2019-04-20T00:15:00+08:00,2019-04-20T00:20:00+08:00,2019-04-20T00:25:00+08:00,2019-04-20T00:30:00+08:00,2019-04-20T00:35:00+08:00,2019-04-20T00:40:00+08:00,2019-04-20T00:45:00+08:00,2019-04-20T00:50:00+08:00,2019-04-20T00:55:00+08:00,2019-04-20T01:00:00+08:00,2019-04-20T01:05:00+08:00,2019-04-20T01:10:00+08:00,2019-04-20T01:15:00+08:00,2019-04-20T01:20:00+08:00,2019-04-20T01:25:00+08:00,2019-04-20T01:30:00+08:00,2019-04-20T01:35:00+08:00,2019-04-20T01:40:00+08:00,2019-04-20T01:45:00+08:00,2019-04-20T01:50:00+08:00,2019-04-20T01:55:00+08:00,2019-04-20T02:00:00+08:00,2019-04-20T02:05:00+08:00,2019-04-20T02:10:00+08:00,2019-04-20T02:15:00+08:00,2019-04-20T02:20:00+08:00,2019-04-20T02:25:00+08:00,2019-04-20T02:30:00+08:00,2019-04-20T02:35:00+08:00,2019-04-20T02:40:00+08:00,2019-04-20T02:45:00+08:00,2019-04-20T02:50:00+08:00,2019-04-20T02:55:00+08:00,2019-04-20T03:00:00+08:00,2019-04-20T03:05:00+08:00,2019-04-20T03:10:00+08:00,2019-04-20T03:15:00+08:00,2019-04-20T03:20:00+08:00,2019-04-20T03:25:00+08:00,2019-04-20T03:30:00+08:00,2019-04-20T03:35:00+08:00,2019-04-20T03:40:00+08:00,2019-04-20T03:45:00+08:00,2019-04-20T03:50:00+08:00,2019-04-20T03:55:00+08:00,2019-04-20T04:00:00+08:00,2019-04-20T04:05:00+08:00,2019-04-20T04:10:00+08:00,2019-04-20T04:15:00+08:00,2019-04-20T04:20:00+08:00,2019-04-20T04:25:00+08:00,2019-04-20T04:30:00+08:00,2019-04-20T04:35:00+08:00,2019-04-20T04:40:00+08:00,2019-04-20T04:45:00+08:00,2019-04-20T04:50:00+08:00,2019-04-20T04:55:00+08:00,2019-04-20T05:00:00+08:00,2019-04-20T05:05:00+08:00,2019-04-20T05:10:00+08:00,2019-04-20T05:15:00+08:00,2019-04-20T05:20:00+08:00,2019-04-20T05:25:00+08:00,2019-04-20T05:30:00+08:00,2019-04-20T05:35:00+08:00,2019-04-20T05:40:00+08:00,2019-04-20T05:45:00+08:00,2019-04-20T05:50:00+08:00,2019-04-20T05:55:00+08:00,2019-04-20T06:00:00+08:00,2019-04-20T06:05:00+08:00,2019-04-20T06:10:00+08:00,2019-04-20T06:15:00+08:00,2019-04-20T06:20:00+08:00,2019-04-20T06:25:00+08:00,2019-04-20T06:30:00+08:00,2019-04-20T06:35:00+08:00,2019-04-20T06:40:00+08:00,2019-04-20T06:45:00+08:00,2019-04-20T06:50:00+08:00,2019-04-20T06:55:00+08:00,2019-04-20T07:00:00+08:00,2019-04-20T07:05:00+08:00,2019-04-20T07:10:00+08:00,2019-04-20T07:15:00+08:00,2019-04-20T07:20:00+08:00,2019-04-20T07:25:00+08:00,2019-04-20T07:30:00+08:00,2019-04-20T07:35:00+08:00,2019-04-20T07:40:00+08:00,2019-04-20T07:45:00+08:00,2019-04-20T07:50:00+08:00,2019-04-20T07:55:00+08:00,2019-04-20T08:00:00+08:00,2019-04-20T08:05:00+08:00,2019-04-20T08:10:00+08:00,2019-04-20T08:15:00+08:00,2019-04-20T08:20:00+08:00,2019-04-20T08:25:00+08:00,2019-04-20T08:30:00+08:00,2019-04-20T08:35:00+08:00,2019-04-20T08:40:00+08:00,2019-04-20T08:45:00+08:00,2019-04-20T08:50:00+08:00,2019-04-20T08:55:00+08:00,2019-04-20T09:00:00+08:00,2019-04-20T09:05:00+08:00,2019-04-20T09:10:00+08:00,2019-04-20T09:15:00+08:00,2019-04-20T09:20:00+08:00,2019-04-20T09:25:00+08:00,2019-04-20T09:30:00+08:00,2019-04-20T09:35:00+08:00,2019-04-20T09:40:00+08:00,2019-04-20T09:45:00+08:00,2019-04-20T09:50:00+08:00,2019-04-20T09:55:00+08:00,2019-04-20T10:00:00+08:00,2019-04-20T10:05:00+08:00,2019-04-20T10:10:00+08:00,2019-04-20T10:15:00+08:00,2019-04-20T10:20:00+08:00,2019-04-20T10:25:00+08:00,2019-04-20T10:30:00+08:00,2019-04-20T10:35:00+08:00,2019-04-20T10:40:00+08:00,2019-04-20T10:45:00+08:00,2019-04-20T10:50:00+08:00,2019-04-20T10:55:00+08:00,2019-04-20T11:00:00+08:00,2019-04-20T11:05:00+08:00,2019-04-20T11:10:00+08:00,2019-04-20T11:15:00+08:00,2019-04-20T11:20:00+08:00,2019-04-20T11:25:00+08:00,2019-04-20T11:30:00+08:00,2019-04-20T11:35:00+08:00,2019-04-20T11:40:00+08:00,2019-04-20T11:45:00+08:00,2019-04-20T11:50:00+08:00,2019-04-20T11:55:00+08:00,2019-04-20T12:00:00+08:00,2019-04-20T12:05:00+08:00,2019-04-20T12:10:00+08:00,2019-04-20T12:15:00+08:00,2019-04-20T12:20:00+08:00,2019-04-20T12:25:00+08:00,2019-04-20T12:30:00+08:00,2019-04-20T12:35:00+08:00,2019-04-20T12:40:00+08:00,2019-04-20T12:45:00+08:00,2019-04-20T12:50:00+08:00,2019-04-20T12:55:00+08:00,2019-04-20T13:00:00+08:00,2019-04-20T13:05:00+08:00,2019-04-20T13:10:00+08:00,2019-04-20T13:15:00+08:00,2019-04-20T13:20:00+08:00,2019-04-20T13:25:00+08:00,2019-04-20T13:30:00+08:00,2019-04-20T13:35:00+08:00,2019-04-20T13:40:00+08:00,2019-04-20T13:45:00+08:00,2019-04-20T13:50:00+08:00,2019-04-20T13:55:00+08:00,2019-04-20T14:00:00+08:00,2019-04-20T14:05:00+08:00,2019-04-20T14:10:00+08:00,2019-04-20T14:15:00+08:00,2019-04-20T14:20:00+08:00,2019-04-20T14:25:00+08:00,2019-04-20T14:30:00+08:00,2019-04-20T14:35:00+08:00,2019-04-20T14:40:00+08:00,2019-04-20T14:45:00+08:00,2019-04-20T14:50:00+08:00,2019-04-20T14:55:00+08:00,2019-04-20T15:00:00+08:00,2019-04-20T15:05:00+08:00,2019-04-20T15:10:00+08:00,2019-04-20T15:15:00+08:00,2019-04-20T15:20:00+08:00,2019-04-20T15:25:00+08:00,2019-04-20T15:30:00+08:00,2019-04-20T15:35:00+08:00,2019-04-20T15:40:00+08:00,2019-04-20T15:45:00+08:00,2019-04-20T15:50:00+08:00,2019-04-20T15:55:00+08:00,2019-04-20T16:00:00+08:00,2019-04-20T16:05:00+08:00,2019-04-20T16:10:00+08:00,2019-04-20T16:15:00+08:00,2019-04-20T16:20:00+08:00,2019-04-20T16:25:00+08:00,2019-04-20T16:30:00+08:00
S105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.2,0.8,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.4,0.2,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0.2,0,0,0,0,0,0,0.4,0.8,0.2,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.4,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4.4,4.6,6.6,4.2,2.4,1.6,1,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.2,1,0.8,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.2,1.2,0.4,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
