,2019-07-25T12:30:00+08:00,2019-07-25T12:35:00+08:00,2019-07-25T12:40:00+08:00,2019-07-25T12:45:00+08:00,2019-07-25T12:50:00+08:00,2019-07-25T12:55:00+08:00,2019-07-25T13:00:00+08:00,2019-07-25T13:05:00+08:00,2019-07-25T13:10:00+08:00,2019-07-25T13:15:00+08:00,2019-07-25T13:20:00+08:00,2019-07-25T13:25:00+08:00,2019-07-25T13:30:00+08:00,2019-07-25T13:35:00+08:00,2019-07-25T13:40:00+08:00,2019-07-25T13:45:00+08:00,2019-07-25T13:50:00+08:00,2019-07-25T13:55:00+08:00,2019-07-25T18:05:00+08:00,2019-07-25T18:10:00+08:00,2019-07-25T18:15:00+08:00,2019-07-25T18:20:00+08:00,2019-07-25T18:25:00+08:00,2019-07-25T18:30:00+08:00,2019-07-25T18:35:00+08:00,2019-07-25T18:40:00+08:00,2019-07-25T18:45:00+08:00,2019-07-25T18:50:00+08:00,2019-07-25T18:55:00+08:00,2019-07-25T19:00:00+08:00,2019-07-25T19:05:00+08:00,2019-07-25T19:10:00+08:00,2019-07-25T19:15:00+08:00,2019-07-25T19:20:00+08:00,2019-07-25T19:25:00+08:00,2019-07-25T19:30:00+08:00,2019-07-25T19:35:00+08:00,2019-07-25T19:40:00+08:00,2019-07-25T19:45:00+08:00,2019-07-25T19:50:00+08:00,2019-07-25T19:55:00+08:00,2019-07-25T20:00:00+08:00,2019-07-25T20:05:00+08:00,2019-07-25T20:10:00+08:00,2019-07-25T20:15:00+08:00,2019-07-25T20:20:00+08:00,2019-07-25T20:25:00+08:00,2019-07-25T20:30:00+08:00,2019-07-25T20:35:00+08:00,2019-07-25T20:40:00+08:00,2019-07-25T20:45:00+08:00,2019-07-25T20:50:00+08:00,2019-07-25T20:55:00+08:00,2019-07-25T21:00:00+08:00,2019-07-25T21:05:00+08:00,2019-07-25T21:10:00+08:00,2019-07-25T21:15:00+08:00,2019-07-25T21:20:00+08:00,2019-07-25T21:25:00+08:00,2019-07-25T21:30:00+08:00,2019-07-25T21:35:00+08:00,2019-07-25T21:40:00+08:00,2019-07-25T21:45:00+08:00,2019-07-25T21:50:00+08:00,2019-07-25T21:55:00+08:00,2019-07-25T22:00:00+08:00,2019-07-25T22:05:00+08:00,2019-07-25T22:10:00+08:00,2019-07-25T22:15:00+08:00,2019-07-25T22:20:00+08:00,2019-07-25T22:25:00+08:00,2019-07-25T22:30:00+08:00,2019-07-25T22:35:00+08:00,2019-07-25T22:40:00+08:00,2019-07-25T22:45:00+08:00,2019-07-25T22:50:00+08:00,2019-07-25T22:55:00+08:00,2019-07-25T23:00:00+08:00,2019-07-25T23:05:00+08:00,2019-07-25T23:10:00+08:00,2019-07-25T23:15:00+08:00,2019-07-25T23:20:00+08:00,2019-07-25T23:25:00+08:00,2019-07-25T23:30:00+08:00,2019-07-25T23:35:00+08:00,2019-07-25T23:40:00+08:00,2019-07-25T23:45:00+08:00,2019-07-25T23:50:00+08:00,2019-07-25T23:55:00+08:00
S105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
