,2019-11-07T00:05:00+08:00,2019-11-07T00:10:00+08:00,2019-11-07T00:15:00+08:00,2019-11-07T00:20:00+08:00,2019-11-07T00:25:00+08:00,2019-11-07T00:30:00+08:00,2019-11-07T00:35:00+08:00,2019-11-07T00:40:00+08:00,2019-11-07T00:45:00+08:00,2019-11-07T00:50:00+08:00,2019-11-07T00:55:00+08:00,2019-11-07T01:00:00+08:00,2019-11-07T01:05:00+08:00,2019-11-07T01:10:00+08:00,2019-11-07T01:15:00+08:00,2019-11-07T01:20:00+08:00,2019-11-07T01:25:00+08:00,2019-11-07T01:30:00+08:00,2019-11-07T01:35:00+08:00,2019-11-07T01:40:00+08:00,2019-11-07T01:45:00+08:00,2019-11-07T01:50:00+08:00,2019-11-07T01:55:00+08:00,2019-11-07T02:00:00+08:00,2019-11-07T02:05:00+08:00,2019-11-07T02:10:00+08:00,2019-11-07T02:15:00+08:00,2019-11-07T02:20:00+08:00,2019-11-07T02:25:00+08:00,2019-11-07T02:30:00+08:00,2019-11-07T02:35:00+08:00,2019-11-07T02:40:00+08:00,2019-11-07T02:45:00+08:00,2019-11-07T02:50:00+08:00,2019-11-07T02:55:00+08:00,2019-11-07T03:00:00+08:00,2019-11-07T03:05:00+08:00,2019-11-07T03:10:00+08:00,2019-11-07T03:15:00+08:00,2019-11-07T03:20:00+08:00,2019-11-07T03:25:00+08:00,2019-11-07T03:30:00+08:00,2019-11-07T03:35:00+08:00,2019-11-07T03:40:00+08:00,2019-11-07T03:45:00+08:00,2019-11-07T03:50:00+08:00,2019-11-07T03:55:00+08:00,2019-11-07T04:00:00+08:00,2019-11-07T04:05:00+08:00,2019-11-07T04:10:00+08:00,2019-11-07T04:15:00+08:00,2019-11-07T04:20:00+08:00,2019-11-07T04:25:00+08:00,2019-11-07T04:30:00+08:00,2019-11-07T04:35:00+08:00,2019-11-07T04:40:00+08:00,2019-11-07T04:45:00+08:00,2019-11-07T04:50:00+08:00,2019-11-07T04:55:00+08:00,2019-11-07T05:00:00+08:00,2019-11-07T05:05:00+08:00,2019-11-07T05:10:00+08:00,2019-11-07T05:15:00+08:00,2019-11-07T05:20:00+08:00,2019-11-07T05:25:00+08:00,2019-11-07T05:30:00+08:00,2019-11-07T05:35:00+08:00,2019-11-07T05:40:00+08:00,2019-11-07T05:45:00+08:00,2019-11-07T05:50:00+08:00,2019-11-07T05:55:00+08:00,2019-11-07T06:00:00+08:00,2019-11-07T06:05:00+08:00,2019-11-07T06:10:00+08:00,2019-11-07T06:15:00+08:00,2019-11-07T06:20:00+08:00,2019-11-07T06:25:00+08:00,2019-11-07T06:30:00+08:00,2019-11-07T06:35:00+08:00,2019-11-07T06:40:00+08:00,2019-11-07T06:45:00+08:00,2019-11-07T06:50:00+08:00,2019-11-07T06:55:00+08:00,2019-11-07T07:00:00+08:00,2019-11-07T07:05:00+08:00,2019-11-07T07:10:00+08:00,2019-11-07T07:15:00+08:00,2019-11-07T07:20:00+08:00,2019-11-07T07:25:00+08:00,2019-11-07T07:30:00+08:00,2019-11-07T07:35:00+08:00,2019-11-07T07:40:00+08:00,2019-11-07T07:45:00+08:00,2019-11-07T07:50:00+08:00,2019-11-07T07:55:00+08:00,2019-11-07T08:00:00+08:00,2019-11-07T08:05:00+08:00,2019-11-07T08:10:00+08:00,2019-11-07T08:15:00+08:00,2019-11-07T08:20:00+08:00,2019-11-07T08:25:00+08:00,2019-11-07T08:30:00+08:00,2019-11-07T08:35:00+08:00,2019-11-07T08:40:00+08:00,2019-11-07T08:45:00+08:00,2019-11-07T08:50:00+08:00,2019-11-07T08:55:00+08:00,2019-11-07T09:00:00+08:00,2019-11-07T09:05:00+08:00,2019-11-07T09:10:00+08:00,2019-11-07T09:15:00+08:00,2019-11-07T09:20:00+08:00,2019-11-07T09:25:00+08:00,2019-11-07T09:30:00+08:00
S105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
