,2020-06-08T00:05:00+08:00,2020-06-08T00:10:00+08:00,2020-06-08T00:15:00+08:00,2020-06-08T00:20:00+08:00,2020-06-08T00:25:00+08:00,2020-06-08T00:30:00+08:00,2020-06-08T00:35:00+08:00,2020-06-08T00:40:00+08:00,2020-06-08T00:45:00+08:00,2020-06-08T00:50:00+08:00,2020-06-08T00:55:00+08:00,2020-06-08T01:00:00+08:00,2020-06-08T01:05:00+08:00,2020-06-08T01:10:00+08:00,2020-06-08T01:15:00+08:00,2020-06-08T01:20:00+08:00,2020-06-08T01:25:00+08:00,2020-06-08T01:30:00+08:00,2020-06-08T01:35:00+08:00,2020-06-08T01:40:00+08:00,2020-06-08T01:45:00+08:00,2020-06-08T01:50:00+08:00,2020-06-08T01:55:00+08:00,2020-06-08T02:00:00+08:00,2020-06-08T02:05:00+08:00,2020-06-08T02:10:00+08:00,2020-06-08T02:15:00+08:00,2020-06-08T02:20:00+08:00,2020-06-08T02:25:00+08:00,2020-06-08T02:30:00+08:00,2020-06-08T02:35:00+08:00,2020-06-08T02:40:00+08:00,2020-06-08T02:45:00+08:00,2020-06-08T02:50:00+08:00,2020-06-08T02:55:00+08:00,2020-06-08T03:00:00+08:00,2020-06-08T03:05:00+08:00,2020-06-08T03:10:00+08:00,2020-06-08T03:15:00+08:00,2020-06-08T03:20:00+08:00,2020-06-08T03:25:00+08:00,2020-06-08T03:30:00+08:00,2020-06-08T03:35:00+08:00,2020-06-08T03:40:00+08:00,2020-06-08T03:45:00+08:00,2020-06-08T03:50:00+08:00,2020-06-08T03:55:00+08:00,2020-06-08T04:00:00+08:00,2020-06-08T04:05:00+08:00,2020-06-08T04:10:00+08:00,2020-06-08T04:15:00+08:00,2020-06-08T04:20:00+08:00,2020-06-08T04:25:00+08:00,2020-06-08T04:30:00+08:00,2020-06-08T04:35:00+08:00,2020-06-08T04:40:00+08:00,2020-06-08T04:45:00+08:00,2020-06-08T04:50:00+08:00,2020-06-08T04:55:00+08:00,2020-06-08T05:00:00+08:00,2020-06-08T05:05:00+08:00,2020-06-08T05:10:00+08:00,2020-06-08T05:15:00+08:00,2020-06-08T05:20:00+08:00,2020-06-08T05:25:00+08:00,2020-06-08T05:30:00+08:00,2020-06-08T05:35:00+08:00,2020-06-08T05:40:00+08:00,2020-06-08T05:45:00+08:00,2020-06-08T05:50:00+08:00,2020-06-08T05:55:00+08:00,2020-06-08T06:00:00+08:00,2020-06-08T06:05:00+08:00,2020-06-08T06:10:00+08:00,2020-06-08T06:15:00+08:00,2020-06-08T06:20:00+08:00,2020-06-08T06:25:00+08:00,2020-06-08T06:30:00+08:00,2020-06-08T06:35:00+08:00,2020-06-08T06:40:00+08:00,2020-06-08T06:45:00+08:00,2020-06-08T06:50:00+08:00,2020-06-08T06:55:00+08:00,2020-06-08T07:00:00+08:00,2020-06-08T07:05:00+08:00,2020-06-08T07:10:00+08:00,2020-06-08T07:15:00+08:00,2020-06-08T07:20:00+08:00,2020-06-08T07:25:00+08:00,2020-06-08T07:30:00+08:00,2020-06-08T07:35:00+08:00,2020-06-08T07:40:00+08:00,2020-06-08T07:45:00+08:00,2020-06-08T07:50:00+08:00,2020-06-08T07:55:00+08:00,2020-06-08T08:00:00+08:00,2020-06-08T08:05:00+08:00,2020-06-08T08:10:00+08:00,2020-06-08T08:15:00+08:00,2020-06-08T08:20:00+08:00,2020-06-08T08:25:00+08:00,2020-06-08T08:30:00+08:00,2020-06-08T08:35:00+08:00,2020-06-08T08:40:00+08:00,2020-06-08T08:45:00+08:00,2020-06-08T08:50:00+08:00,2020-06-08T08:55:00+08:00,2020-06-08T09:00:00+08:00,2020-06-08T09:05:00+08:00,2020-06-08T09:10:00+08:00,2020-06-08T09:15:00+08:00,2020-06-08T09:20:00+08:00,2020-06-08T09:25:00+08:00,2020-06-08T09:30:00+08:00,2020-06-08T09:35:00+08:00,2020-06-08T09:40:00+08:00,2020-06-08T09:45:00+08:00,2020-06-08T09:50:00+08:00,2020-06-08T09:55:00+08:00,2020-06-08T10:00:00+08:00,2020-06-08T10:05:00+08:00
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
S109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
