,2020-06-11T15:55:00+08:00,2020-06-11T16:00:00+08:00,2020-06-11T16:05:00+08:00,2020-06-11T16:10:00+08:00,2020-06-11T16:15:00+08:00,2020-06-11T16:20:00+08:00,2020-06-11T16:25:00+08:00,2020-06-11T16:30:00+08:00,2020-06-11T16:35:00+08:00,2020-06-11T16:40:00+08:00,2020-06-11T16:45:00+08:00,2020-06-11T16:50:00+08:00,2020-06-11T16:55:00+08:00,2020-06-11T17:00:00+08:00,2020-06-11T17:05:00+08:00,2020-06-11T17:10:00+08:00,2020-06-11T17:15:00+08:00,2020-06-11T17:20:00+08:00,2020-06-11T17:25:00+08:00,2020-06-11T17:30:00+08:00,2020-06-11T17:35:00+08:00,2020-06-11T17:40:00+08:00,2020-06-11T17:45:00+08:00,2020-06-11T17:50:00+08:00,2020-06-11T17:55:00+08:00,2020-06-11T18:00:00+08:00,2020-06-11T18:05:00+08:00,2020-06-11T18:10:00+08:00,2020-06-11T18:15:00+08:00,2020-06-11T18:20:00+08:00,2020-06-11T18:25:00+08:00,2020-06-11T18:30:00+08:00,2020-06-11T18:35:00+08:00,2020-06-11T18:40:00+08:00,2020-06-11T18:45:00+08:00,2020-06-11T18:50:00+08:00,2020-06-11T18:55:00+08:00,2020-06-11T19:00:00+08:00,2020-06-11T19:05:00+08:00,2020-06-11T19:10:00+08:00,2020-06-11T19:15:00+08:00,2020-06-11T19:20:00+08:00,2020-06-11T19:25:00+08:00,2020-06-11T19:30:00+08:00,2020-06-11T19:35:00+08:00,2020-06-11T19:40:00+08:00,2020-06-11T19:45:00+08:00,2020-06-11T19:50:00+08:00,2020-06-11T19:55:00+08:00,2020-06-11T20:00:00+08:00,2020-06-11T20:05:00+08:00,2020-06-11T20:10:00+08:00,2020-06-11T20:15:00+08:00,2020-06-11T20:20:00+08:00,2020-06-11T20:25:00+08:00,2020-06-11T20:30:00+08:00,2020-06-11T20:35:00+08:00,2020-06-11T20:40:00+08:00,2020-06-11T20:45:00+08:00,2020-06-11T20:50:00+08:00,2020-06-11T20:55:00+08:00,2020-06-11T21:00:00+08:00,2020-06-11T21:05:00+08:00,2020-06-11T21:10:00+08:00,2020-06-11T21:15:00+08:00,2020-06-11T21:20:00+08:00,2020-06-11T21:25:00+08:00,2020-06-11T21:30:00+08:00,2020-06-11T21:35:00+08:00,2020-06-11T21:40:00+08:00,2020-06-11T21:45:00+08:00,2020-06-11T21:50:00+08:00,2020-06-11T21:55:00+08:00,2020-06-11T22:00:00+08:00,2020-06-11T22:05:00+08:00,2020-06-11T22:10:00+08:00,2020-06-11T22:15:00+08:00,2020-06-11T22:20:00+08:00,2020-06-11T22:25:00+08:00,2020-06-11T22:30:00+08:00,2020-06-11T22:35:00+08:00,2020-06-11T22:40:00+08:00,2020-06-11T22:45:00+08:00,2020-06-11T22:50:00+08:00,2020-06-11T22:55:00+08:00,2020-06-11T23:00:00+08:00,2020-06-11T23:05:00+08:00,2020-06-11T23:10:00+08:00,2020-06-11T23:15:00+08:00,2020-06-11T23:20:00+08:00,2020-06-11T23:25:00+08:00,2020-06-11T23:30:00+08:00,2020-06-11T23:35:00+08:00,2020-06-11T23:40:00+08:00,2020-06-11T23:45:00+08:00,2020-06-11T23:50:00+08:00,2020-06-11T23:55:00+08:00
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
