,2020-07-29T00:05:00+08:00,2020-07-29T00:10:00+08:00,2020-07-29T00:15:00+08:00,2020-07-29T00:20:00+08:00,2020-07-29T00:25:00+08:00,2020-07-29T00:30:00+08:00,2020-07-29T00:35:00+08:00,2020-07-29T00:40:00+08:00,2020-07-29T00:45:00+08:00,2020-07-29T00:50:00+08:00,2020-07-29T00:55:00+08:00,2020-07-29T01:00:00+08:00,2020-07-29T01:05:00+08:00,2020-07-29T01:10:00+08:00,2020-07-29T01:15:00+08:00,2020-07-29T01:20:00+08:00,2020-07-29T01:25:00+08:00,2020-07-29T01:30:00+08:00,2020-07-29T01:35:00+08:00,2020-07-29T01:40:00+08:00,2020-07-29T01:45:00+08:00,2020-07-29T01:50:00+08:00,2020-07-29T01:55:00+08:00,2020-07-29T02:00:00+08:00,2020-07-29T02:05:00+08:00,2020-07-29T02:10:00+08:00,2020-07-29T02:15:00+08:00,2020-07-29T02:20:00+08:00,2020-07-29T02:25:00+08:00,2020-07-29T02:30:00+08:00,2020-07-29T02:35:00+08:00,2020-07-29T02:40:00+08:00,2020-07-29T02:45:00+08:00,2020-07-29T02:50:00+08:00,2020-07-29T02:55:00+08:00,2020-07-29T03:00:00+08:00,2020-07-29T03:05:00+08:00,2020-07-29T03:10:00+08:00,2020-07-29T03:15:00+08:00,2020-07-29T03:20:00+08:00,2020-07-29T03:25:00+08:00,2020-07-29T03:30:00+08:00,2020-07-29T03:35:00+08:00,2020-07-29T03:40:00+08:00,2020-07-29T03:45:00+08:00,2020-07-29T03:50:00+08:00,2020-07-29T03:55:00+08:00,2020-07-29T04:00:00+08:00,2020-07-29T04:05:00+08:00,2020-07-29T04:10:00+08:00,2020-07-29T04:15:00+08:00,2020-07-29T04:20:00+08:00,2020-07-29T04:25:00+08:00,2020-07-29T04:30:00+08:00,2020-07-29T04:35:00+08:00,2020-07-29T04:40:00+08:00,2020-07-29T04:45:00+08:00,2020-07-29T04:50:00+08:00,2020-07-29T04:55:00+08:00,2020-07-29T05:00:00+08:00,2020-07-29T05:05:00+08:00,2020-07-29T05:10:00+08:00,2020-07-29T05:15:00+08:00,2020-07-29T05:20:00+08:00,2020-07-29T05:25:00+08:00,2020-07-29T05:30:00+08:00,2020-07-29T05:35:00+08:00,2020-07-29T05:40:00+08:00,2020-07-29T05:45:00+08:00,2020-07-29T05:50:00+08:00,2020-07-29T05:55:00+08:00,2020-07-29T06:00:00+08:00,2020-07-29T06:05:00+08:00,2020-07-29T06:10:00+08:00,2020-07-29T06:15:00+08:00,2020-07-29T06:20:00+08:00,2020-07-29T06:25:00+08:00,2020-07-29T06:30:00+08:00,2020-07-29T06:35:00+08:00,2020-07-29T06:40:00+08:00,2020-07-29T06:45:00+08:00,2020-07-29T06:50:00+08:00,2020-07-29T06:55:00+08:00,2020-07-29T07:00:00+08:00,2020-07-29T07:05:00+08:00,2020-07-29T07:10:00+08:00,2020-07-29T07:15:00+08:00,2020-07-29T07:20:00+08:00,2020-07-29T07:25:00+08:00,2020-07-29T07:30:00+08:00,2020-07-29T07:35:00+08:00,2020-07-29T07:40:00+08:00,2020-07-29T07:45:00+08:00,2020-07-29T07:50:00+08:00,2020-07-29T07:55:00+08:00,2020-07-29T08:00:00+08:00,2020-07-29T08:05:00+08:00,2020-07-29T08:10:00+08:00,2020-07-29T08:15:00+08:00,2020-07-29T08:20:00+08:00,2020-07-29T08:25:00+08:00,2020-07-29T08:30:00+08:00,2020-07-29T08:35:00+08:00,2020-07-29T08:40:00+08:00,2020-07-29T08:45:00+08:00,2020-07-29T08:50:00+08:00,2020-07-29T08:55:00+08:00,2020-07-29T09:00:00+08:00,2020-07-29T09:05:00+08:00,2020-07-29T09:10:00+08:00,2020-07-29T09:15:00+08:00,2020-07-29T09:20:00+08:00,2020-07-29T09:25:00+08:00,2020-07-29T09:30:00+08:00,2020-07-29T09:35:00+08:00,2020-07-29T09:40:00+08:00,2020-07-29T09:45:00+08:00,2020-07-29T09:50:00+08:00,2020-07-29T09:55:00+08:00,2020-07-29T10:00:00+08:00
S77,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.8,0.2,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4
S109,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
S117,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0.8,1,1.4,0.2,0
S90,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
S61,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
S114,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0.0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3.8,4.2,4.6,1.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0
S50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,3.2,4.8
S107,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.4,0.4,1.2,2.6
S215,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.015,1.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,0.406
