,2020-08-07T03:35:00+08:00,2020-08-07T03:40:00+08:00,2020-08-07T03:45:00+08:00,2020-08-07T03:50:00+08:00,2020-08-07T03:55:00+08:00,2020-08-07T04:00:00+08:00,2020-08-07T10:45:00+08:00,2020-08-07T10:50:00+08:00,2020-08-07T10:55:00+08:00,2020-08-07T16:35:00+08:00,2020-08-07T16:40:00+08:00,2020-08-07T16:45:00+08:00,2020-08-07T16:50:00+08:00,2020-08-07T16:55:00+08:00,2020-08-07T17:00:00+08:00,2020-08-07T17:05:00+08:00,2020-08-07T17:10:00+08:00,2020-08-07T17:15:00+08:00,2020-08-07T17:20:00+08:00,2020-08-07T17:25:00+08:00,2020-08-07T17:30:00+08:00,2020-08-07T17:35:00+08:00,2020-08-07T17:40:00+08:00,2020-08-07T17:45:00+08:00,2020-08-07T17:50:00+08:00,2020-08-07T17:55:00+08:00,2020-08-07T18:00:00+08:00,2020-08-07T18:05:00+08:00,2020-08-07T18:10:00+08:00,2020-08-07T18:15:00+08:00,2020-08-07T18:20:00+08:00,2020-08-07T18:25:00+08:00,2020-08-07T18:30:00+08:00,2020-08-07T18:45:00+08:00,2020-08-07T18:50:00+08:00,2020-08-07T18:55:00+08:00,2020-08-07T19:00:00+08:00,2020-08-07T19:05:00+08:00,2020-08-07T19:10:00+08:00,2020-08-07T19:15:00+08:00,2020-08-07T19:20:00+08:00,2020-08-07T19:25:00+08:00,2020-08-07T19:30:00+08:00,2020-08-07T19:35:00+08:00,2020-08-07T19:40:00+08:00,2020-08-07T19:45:00+08:00,2020-08-07T19:50:00+08:00,2020-08-07T19:55:00+08:00,2020-08-07T20:00:00+08:00,2020-08-07T20:05:00+08:00,2020-08-07T20:10:00+08:00,2020-08-07T20:15:00+08:00,2020-08-07T20:20:00+08:00,2020-08-07T20:25:00+08:00,2020-08-07T20:30:00+08:00,2020-08-07T20:35:00+08:00,2020-08-07T20:40:00+08:00,2020-08-07T20:45:00+08:00,2020-08-07T20:50:00+08:00,2020-08-07T20:55:00+08:00,2020-08-07T21:00:00+08:00,2020-08-07T21:05:00+08:00,2020-08-07T21:10:00+08:00,2020-08-07T21:15:00+08:00,2020-08-07T21:20:00+08:00,2020-08-07T21:25:00+08:00,2020-08-07T21:30:00+08:00,2020-08-07T21:35:00+08:00,2020-08-07T21:40:00+08:00,2020-08-07T21:45:00+08:00,2020-08-07T21:50:00+08:00,2020-08-07T21:55:00+08:00,2020-08-07T22:00:00+08:00,2020-08-07T22:05:00+08:00,2020-08-07T22:10:00+08:00,2020-08-07T22:15:00+08:00,2020-08-07T22:20:00+08:00,2020-08-07T22:25:00+08:00,2020-08-07T22:30:00+08:00,2020-08-07T22:35:00+08:00,2020-08-07T22:40:00+08:00,2020-08-07T22:45:00+08:00,2020-08-07T22:50:00+08:00,2020-08-07T22:55:00+08:00,2020-08-07T23:00:00+08:00,2020-08-07T23:05:00+08:00,2020-08-07T23:10:00+08:00,2020-08-07T23:15:00+08:00,2020-08-07T23:20:00+08:00,2020-08-07T23:25:00+08:00,2020-08-07T23:30:00+08:00,2020-08-07T23:35:00+08:00,2020-08-07T23:40:00+08:00,2020-08-07T23:45:00+08:00,2020-08-07T23:50:00+08:00,2020-08-07T23:55:00+08:00
S77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S109,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S117,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S90,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S61,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S114,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S107,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S215,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
