,2017-04-27Hour11,2017-04-27Hour12,2017-04-27Hour13,2017-04-27Hour14,2017-04-27Hour15,2017-04-27Hour16,2017-04-27Hour17,2017-04-27Hour18,2017-04-27Hour19,2017-04-27Hour20,2017-04-27Hour21,2017-04-27Hour22,2017-04-27Hour23
S77,0.0,0.0,0.0,0,0.0,0.0,11.0,0.2,0,0.0,0.0,0.0,0.6000000000000001
S109,,,,0,0.0,6.800000000000001,16.999999999999996,,0,0.0,,,
S117,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.0,15.0
S55,0.0,0.0,0.0,0,0.0,12.0,8.599999999999998,0.2,0,0.0,0.0,0.0,0.0
S64,0.0,0.0,0.0,0,0.0,0.0,2.400000000000001,0.0,0,0.0,0.0,0.0,0.0
S61,0.0,0.0,0.0,0,0.0,1.6,0.6000000000000001,0.0,0,0.0,0.0,0.0,0.0
S114,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
S11,0.0,0.0,6.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.2000000000000002
S50,0.0,0.0,0.0,0,0.4,0.6000000000000001,24.8,0.0,0,0.0,0.0,0.0,6.3999999999999995
S101,0.0,0.0,0.0,0,0.0,0.0,0.2,0.2,0,0.0,0.0,0.2,13.599999999999998
S107,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S118,0.0,,0.0,0,,,,0.2,0,,,,
S120,0.0,0.0,0.0,0,0.0,0.0,26.200000000000003,0.0,0,0.0,0.0,0.0,0.8
S33,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,18.0
S71,0.0,0.0,0.0,0,0.0,0.0,10.399999999999999,0.0,0,0.0,0.0,0.0,3.4
S43,0.0,0.0,0.0,0,0.0,67.19999000000001,11.399999999999999,0.2,0,0.0,0.0,0.0,0.0
S66,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S112,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S07,0.0,0.0,0.0,0,0.0,0.0,10.599999999999998,0.0,0,0.0,0.0,0.0,0.0
S40,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S113,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S119,0.0,0.0,0.0,0,0.0,0.0,14.6,0.0,0,0.0,0.0,0.0,0.0
S35,0.0,0.0,0.0,0,0.2,12.80001,27.600009999999997,0.0,0,0.0,0.0,0.0,18.0
S29,0.0,0.0,0.0,0,0.0,1.2000000000000002,1.2,0.0,0,0.0,0.0,0.0,0.0
S94,0.0,0.0,0.0,0,0.0,0.8,0.6000000000000001,0.0,0,0.0,0.0,0.0,0.0
S78,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0,0,0.0,0.0,0.0,0.0
S106,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S81,0.0,0.0,0.0,0,0.0,0.0,13.4,0.0,0,0.0,0.0,0.0,0.0
S900,0.0,0.0,0.0,0,0.0,0.2,1.4000000000000001,0.0,0,0.2,0.0,0.2,0.0
S102,0.0,0.0,,0,,0.0,,0.0,0,0.0,,,
S122,0.0,0.0,0.0,0,0.0,0.0,,0.2,0,,0.0,0.4,0.0
S46,0.0,0.0,0.0,0,0.0,0.0,20.599999999999998,0.2,0,0.0,0.0,0.0,0.2
S84,0.0,0.0,0.0,0,0.0,0.0,1.4,0.0,0,0.0,0.0,0.0,0.0
S79,0.0,0.0,0.0,0,0.0,0.0,9.599999999999998,0.0,0,0.0,0.0,0.0,0.2
S92,0.0,0.0,0.0,0,0.0,0.0,6.2,0.0,0,0.0,0.0,0.0,3.0
S88,0.0,0.0,0.0,0,0.0,8.600000000000001,23.8,0.0,0,0.0,0.0,0.0,0.0
S123,0.0,0.0,0.0,0,0.0,3.8,38.4,0.4,0,0.0,0.0,0.0,0.0
S89,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,24.400000000000002,12.8
S115,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
S24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2,0.0
S08,0.0,0.0,0.0,0,0.0,0.8,3.5999999999999996,0.0,0,0.0,0.2,0.0,0.0
S116,0.0,0.0,0.0,0,0.0,0.0,2.4,0.0,0,0.0,0.0,0.0,11.0
S104,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
S100,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
