,2018-04-16Hour15,2018-04-16Hour16,2018-04-16Hour17,2018-04-16Hour18,2018-04-16Hour19,2018-04-16Hour20,2018-04-16Hour21,2018-04-16Hour22,2018-04-16Hour23
S77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,2.4,7.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,5.0,13.799999999999997,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S64,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S61,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0.203,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S120,0.0,0.2,,,,,,,
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S66,0.6000000000000001,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
S112,1.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
S07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
S40,1.4,1.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
S108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S113,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S119,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S121,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S29,3.8000000000000003,13.199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S94,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S78,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S106,6.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S81,13.8,10.799999999999999,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S900,3.0000000000000004,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S122,2.1999999999999997,3.4,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
S60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
S46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S84,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S79,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S88,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S123,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S82,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S24,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S69,0.2,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S08,0.2,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S104,0.6000000000000001,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0
S100,2.4000000000000004,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
S91,1.0,5.000000000000001,1.0,0.2,0.0,0.0,0.0,0.0,0.0
