,2019-04-23Hour07,2019-04-23Hour08,2019-04-23Hour09,2019-04-23Hour10,2019-04-23Hour11,2019-04-23Hour12,2019-04-23Hour13,2019-04-23Hour14,2019-04-23Hour15,2019-04-23Hour16,2019-04-23Hour17,2019-04-23Hour18,2019-04-23Hour19,2019-04-23Hour20,2019-04-23Hour21,2019-04-23Hour22,2019-04-23Hour23
S105,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.8000000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S77,0,0.0,0.0,0.0,0.0,0.0,1.4,0.4,28.400000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S109,0,0.0,0.0,0.0,0.0,1.4,5.2,0.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S117,0,0.0,0.0,0.0,0.4,5.2,8.6,12.200000000000001,12.8,4.800000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0
S64,0,0.0,0.0,0.0,0.0,0.0,17.2,17.4,14.799999999999997,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S90,0,0.0,0.0,0.0,0.0,0.0,12.200000000000001,5.8,16.199999999999996,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S114,0,0.0,0.0,0.0,0.0,0.0,7.200000000000001,15.6,10.799999999999999,4.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0,0.0,0.0,0.0,0.0,0.0,3.4000000000000004,16.2,3.8000000000000003,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S50,0,0.0,0.0,0.0,0.0,0.0,14.4,3.0000000000000004,9.399999999999999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S107,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S215,0,0.0,0.0,0.0,0.0,0.0,0.0,4.669,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S118,0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999,14.0,20.999999999999996,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S120,0,0.0,0.0,0.0,0.0,0.0,7.3999999999999995,8.8,30.399999999999995,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S33,0,0.0,0.0,0.0,0.0,0.0,14.8,11.0,4.6000000000000005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S43,0,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999999999,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S66,0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,3.2,0.4,0.6000000000000001,0.0,0.0,0.0,,,,
S07,0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,6.999999999999999,8.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
S40,0,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,14.400000000000002,2.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S108,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S44,0,0.0,0.0,0.0,0.0,0.0,9.0,28.999999999999996,3.0000000000000004,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S119,0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,7.200000000000001,0.0,0.0,0.0,,,0.0,0.0,0.0
S121,0,0.0,0.0,0.0,0.0,0.0,2.8,19.799999999999997,7.800000000000002,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S35,0,0.0,0.0,0.0,0.0,0.0,16.2,5.4,7.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S78,0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1.4000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S81,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S111,0,0.0,0.0,0.0,0.0,0.0,5.4,8.399999999999999,13.600000000000001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
