,2020-07-29Hour00,2020-07-29Hour01,2020-07-29Hour02,2020-07-29Hour03,2020-07-29Hour04,2020-07-29Hour05,2020-07-29Hour06,2020-07-29Hour07,2020-07-29Hour08,2020-07-29Hour09,2020-07-29Hour10
S77,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,0.4,0.4
S109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2
S117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.6000000000000001,3.6,0.0
S90,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0
S61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
S114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.2,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.6000000000000001,0.0
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.6,4.8
S107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.2,2.6
S215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.203,0.406
S118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.4,2.4,1.4
S120,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.0,0.0
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.7999999999999998,4.4,0.0
S71,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.6,0.0
S43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.2,0.4
S66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.0
S112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.9999999999999998,0.6000000000000001,0.0
S07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
S40,0.0,,,,,,,,,0.0,0.0
