,2021-01-01Hour00,2021-01-01Hour01,2021-01-01Hour02,2021-01-01Hour03,2021-01-01Hour04,2021-01-01Hour05,2021-01-01Hour06,2021-01-01Hour07
S77,0.0,,0.0,0.0,0.0,0.0,0.2,2.4000000000000004
S109,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.8000000000000003
S90,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.8000000000000003
S61,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
S114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005
S107,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.8
S215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812
S118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S120,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.2000000000000006
S33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
S43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000007
S66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S07,0.0,0.0,,,,,,
S40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001
S108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999999
S113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
S44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S119,,,,,,,,
S121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002
S29,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6
S94,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8
S78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
S106,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.8
S81,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.600000000000001
S201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
S202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222
S203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.206
S204,0.0,0.0,0.0,0.0,0.0,0.0,1.809,6.834
S205,0.0,0.0,0.0,0.0,0.0,0.0,1.02,3.060000000000001
S207,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.402
S208,0.0,0.0,0.0,0.0,0.0,0.816,1.632,3.2640000000000007
S209,0.0,0.0,0.0,0.0,0.0,0.0,1.616,3.6359999999999997
S210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201
S211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000005
S214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591
S216,0.0,0.0,0.0,0.0,0.0,0.0,1.632,1.8359999999999999
S217,0.0,0.0,0.0,0.0,0.0,0.0,1.182,1.7730000000000001
S218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408
S219,0.0,0.0,0.0,0.0,0.0,0.0,0.804,3.6180000000000008
S220,0.0,0.0,0.0,0.0,0.0,0.0,0.406,5.2780000000000005
S221,0.0,0.0,0.0,0.0,0.0,0.0,0.198,2.178
S222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.824
S223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2480000000000007
S226,0.0,0.0,0.0,0.0,0.0,0.0,0.203,1.2180000000000002
S227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.400000000000001
S228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002
S111,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.2
S900,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,5.000000000000001
S60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8000000000000007
S84,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6000000000000001
S79,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3.4
S92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998
S88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7999999999999998
S123,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2
S89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S24,0.0,0.0,0.0,0.0,0.0,1.0,1.4000000000000001,1.0
S69,0.0,0.0,0.0,0.0,0.0,0.0,0.2,5.2
S08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6000000000000005
S116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
S104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
S100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
S91,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999998,3.4000000000000004
